Time,Alpha_Wave,Gamma_Wave,label
958.5,98.6,84.3,POSITIVE
959,98.5,84.2,POSITIVE
959.5,98.5,84.1,POSITIVE
960,98.4,84,POSITIVE
960.5,98.4,84,POSITIVE
961,98.4,83.9,POSITIVE
961.5,98.4,83.9,POSITIVE
962,98.3,83.8,POSITIVE
962.5,98.2,83.8,POSITIVE
963,98.2,83.9,POSITIVE
963.5,98.1,83.9,POSITIVE
964,98.1,83.9,POSITIVE
964.5,98,83.9,POSITIVE
965,97.9,83.8,POSITIVE
965.5,97.9,83.8,POSITIVE
966,97.9,83.9,POSITIVE
966.5,97.9,84,POSITIVE
967,97.9,84,POSITIVE
967.5,97.9,84,POSITIVE
968,97.9,84,POSITIVE
968.5,97.9,84,POSITIVE
969,97.9,84,POSITIVE
969.5,97.8,84,POSITIVE
970,97.7,84,POSITIVE
970.5,97.8,84,POSITIVE
971,97.8,84.1,POSITIVE
971.5,97.8,84.2,POSITIVE
972,97.9,84.3,POSITIVE
972.5,98,84.4,POSITIVE
973,98.2,84.5,POSITIVE
973.5,98.3,84.5,POSITIVE
974,98.3,84.5,POSITIVE
974.5,98.2,84.5,POSITIVE
975,98.3,84.6,POSITIVE
975.5,98.3,84.6,POSITIVE
976,98.4,84.7,POSITIVE
976.5,98.4,84.8,POSITIVE
977,98.4,84.8,POSITIVE
977.5,98.5,84.9,POSITIVE
978,98.5,84.9,POSITIVE
978.5,98.5,84.9,POSITIVE
979,98.5,84.9,POSITIVE
979.5,98.5,84.9,POSITIVE
980,98.4,84.9,POSITIVE
980.5,98.4,85,POSITIVE
981,98.4,85.1,POSITIVE
981.5,98.5,85.2,POSITIVE
982,98.6,85.3,POSITIVE
982.5,98.7,85.3,POSITIVE
983,98.7,85.3,POSITIVE
983.5,98.7,85.4,POSITIVE
984,98.6,85.5,POSITIVE
984.5,98.6,85.6,POSITIVE
985,98.6,85.6,POSITIVE
985.5,98.7,85.7,POSITIVE
986,98.8,85.8,POSITIVE
986.5,98.8,85.8,POSITIVE
987,98.9,85.8,POSITIVE
987.5,99,85.9,NEUTRAL
988,99,85.9,NEUTRAL
988.5,99.1,85.9,NEUTRAL
989,99.1,85.9,NEUTRAL
989.5,99.2,85.9,NEUTRAL
990,99.3,85.9,NEUTRAL
990.5,99.3,86,NEUTRAL
991,99.3,86.1,NEUTRAL
991.5,99.3,86.2,NEUTRAL
992,99.4,86.3,NEUTRAL
992.5,99.4,86.4,NEUTRAL
993,99.5,86.3,NEUTRAL
993.5,99.6,86.3,NEUTRAL
994,99.6,86.2,NEUTRAL
994.5,99.6,86.2,NEUTRAL
995,99.6,86.1,NEUTRAL
995.5,99.6,86.1,NEUTRAL
996,99.5,86,NEUTRAL
996.5,99.3,85.9,NEUTRAL
997,99.3,85.8,NEUTRAL
997.5,99.2,85.8,NEUTRAL
998,99.2,85.7,NEUTRAL
998.5,99.1,85.7,NEUTRAL
999,99,85.6,NEUTRAL
999.5,99,85.6,NEUTRAL
1000,99,85.6,NEUTRAL
1000.5,98.9,85.5,POSITIVE
1001,98.9,85.5,POSITIVE
1001.5,98.9,85.5,POSITIVE
1002,98.9,85.6,POSITIVE
1002.5,98.8,85.6,POSITIVE
1003,98.8,85.6,POSITIVE
1003.5,98.9,85.6,POSITIVE
1004,99,85.6,NEUTRAL
1004.5,99,85.6,NEUTRAL
1005,99,85.6,NEUTRAL
1005.5,98.9,85.5,POSITIVE
1006,98.8,85.5,POSITIVE
1006.5,98.8,85.5,POSITIVE
1007,98.8,85.5,POSITIVE
1007.5,98.9,85.5,POSITIVE
1008,98.9,85.5,POSITIVE
1008.5,98.9,85.5,POSITIVE
1009,98.9,85.5,POSITIVE
1009.5,98.9,85.4,POSITIVE
1010,98.9,85.4,POSITIVE
1010.5,98.9,85.5,POSITIVE
1011,98.9,85.5,POSITIVE
1011.5,98.8,85.5,POSITIVE
1012,98.8,85.5,POSITIVE
1012.5,98.8,85.4,POSITIVE
1013,98.8,85.4,POSITIVE
1013.5,98.7,85.3,POSITIVE
1014,98.7,85.2,POSITIVE
1014.5,98.6,85.1,POSITIVE
1015,98.5,85,POSITIVE
1015.5,98.4,84.8,POSITIVE
1016,98.4,84.8,POSITIVE
1016.5,98.3,84.8,POSITIVE
1017,98.3,84.8,POSITIVE
1017.5,98.3,84.8,POSITIVE
1018,98.3,84.8,POSITIVE
1018.5,98.3,84.9,POSITIVE
1019,98.2,84.9,POSITIVE
1019.5,98.1,85,POSITIVE
1020,98.1,85,POSITIVE
1020.5,98.2,85,POSITIVE
1021,98.2,85,POSITIVE
1021.5,98.3,85,POSITIVE
1022,98.3,84.9,POSITIVE
1022.5,98.3,85,POSITIVE
1023,98.3,85,POSITIVE
1023.5,98.2,85,POSITIVE
1024,98.2,85,POSITIVE
1024.5,98.2,85,POSITIVE
1025,98.1,84.9,POSITIVE
1025.5,98.1,84.9,POSITIVE
1026,98.1,84.9,POSITIVE
1026.5,98.1,84.9,POSITIVE
1027,98,84.9,POSITIVE
1027.5,98,85,POSITIVE
1028,98,85,POSITIVE
1028.5,98,85,POSITIVE
1029,98,85,POSITIVE
1029.5,98.1,84.9,POSITIVE
1030,98.1,84.9,POSITIVE
1030.5,98.1,84.9,POSITIVE
1031,98,84.8,POSITIVE
1031.5,97.9,84.8,POSITIVE
1032,97.9,84.8,POSITIVE
1032.5,97.8,84.8,POSITIVE
1033,97.8,84.8,POSITIVE
1033.5,97.8,84.8,POSITIVE
1034,97.9,84.8,POSITIVE
1034.5,97.9,84.9,POSITIVE
1035,97.9,85,POSITIVE
1035.5,98,85.1,POSITIVE
1036,98,85.2,POSITIVE
1036.5,97.9,85.2,POSITIVE
1037,97.9,85.2,POSITIVE
1037.5,97.9,85.3,POSITIVE
1038,98,85.4,POSITIVE
1038.5,98,85.4,POSITIVE
1039,98.1,85.5,POSITIVE
1039.5,98.1,85.6,POSITIVE
1040,98.1,85.6,POSITIVE
1040.5,98.1,85.7,POSITIVE
1041,98.1,85.7,POSITIVE
1041.5,98.1,85.7,POSITIVE
1042,98.1,85.7,POSITIVE
1042.5,98.1,85.6,POSITIVE
1043,98.1,85.6,POSITIVE
1043.5,98.2,85.6,POSITIVE
1044,98.2,85.6,POSITIVE
1044.5,98.1,85.6,POSITIVE
1045,98.1,85.6,POSITIVE
1045.5,98.2,85.6,POSITIVE
1046,98.2,85.6,POSITIVE
1046.5,98.2,85.5,POSITIVE
1047,98.2,85.4,POSITIVE
1047.5,98.2,85.4,POSITIVE
1048,98.1,85.4,POSITIVE
1048.5,98.1,85.4,POSITIVE
1049,98,85.3,POSITIVE
1049.5,98,85.2,POSITIVE
1050,98,85.2,POSITIVE
1050.5,98.1,85.2,POSITIVE
1051,98.1,85.1,POSITIVE
1051.5,98.1,85,POSITIVE
1052,98.1,84.9,POSITIVE
1052.5,98.1,84.9,POSITIVE
1053,98,84.9,POSITIVE
1053.5,98,84.8,POSITIVE
1054,98,84.8,POSITIVE
1054.5,98,84.8,POSITIVE
1055,98.1,84.8,POSITIVE
1055.5,98.1,84.8,POSITIVE
1056,98.2,84.8,POSITIVE
1056.5,98.2,84.8,POSITIVE
1057,98.1,84.8,POSITIVE
1057.5,98.1,84.8,POSITIVE
1058,98.1,84.7,POSITIVE
1058.5,98,84.6,POSITIVE
1059,97.9,84.4,POSITIVE
1059.5,97.8,84.3,POSITIVE
1060,97.8,84.3,POSITIVE
1060.5,97.8,84.3,POSITIVE
1061,97.8,84.3,POSITIVE
1061.5,97.8,84.3,POSITIVE
1062,97.7,84.2,POSITIVE
1062.5,97.7,84.1,POSITIVE
1063,97.7,84.1,POSITIVE
1063.5,97.7,84,POSITIVE
1064,97.7,84,POSITIVE
1064.5,97.7,83.9,POSITIVE
1065,97.7,83.8,POSITIVE
1065.5,97.7,83.7,POSITIVE
1066,97.7,83.6,POSITIVE
1066.5,97.7,83.5,POSITIVE
1067,97.6,83.5,POSITIVE
1067.5,97.7,83.4,POSITIVE
1068,97.7,83.4,POSITIVE
1068.5,97.7,83.4,POSITIVE
1069,97.6,83.4,POSITIVE
1069.5,97.6,83.4,POSITIVE
1070,97.6,83.5,POSITIVE
1070.5,97.7,83.6,POSITIVE
1071,97.7,83.6,POSITIVE
1071.5,97.8,83.6,POSITIVE
1072,97.9,83.6,POSITIVE
1072.5,98,83.6,POSITIVE
1073,98.1,83.7,POSITIVE
1073.5,98.1,83.8,POSITIVE
1074,98.1,83.7,POSITIVE
1074.5,98.2,83.7,POSITIVE
1075,98.2,83.7,POSITIVE
1075.5,98.2,83.7,POSITIVE
1076,98.2,83.7,POSITIVE
1076.5,98.2,83.8,POSITIVE
1077,98.2,83.8,POSITIVE
1077.5,98.2,83.9,POSITIVE
1078,98.2,83.9,POSITIVE
1078.5,98.2,83.9,POSITIVE
1079,98.2,83.9,POSITIVE
1079.5,98.2,83.8,POSITIVE
1080,98.2,83.8,POSITIVE
1080.5,98.3,83.7,POSITIVE
1081,98.3,83.8,POSITIVE
1081.5,98.4,83.8,POSITIVE
1082,98.4,83.9,POSITIVE
1082.5,98.4,83.9,POSITIVE
1083,98.5,83.9,POSITIVE
1083.5,98.5,83.9,POSITIVE
1084,98.5,83.8,POSITIVE
1084.5,98.5,83.8,POSITIVE
1085,98.5,83.8,POSITIVE
1085.5,98.4,83.8,POSITIVE
1086,98.4,83.8,POSITIVE
1086.5,98.3,83.7,POSITIVE
1087,98.3,83.7,POSITIVE
1087.5,98.3,83.7,POSITIVE
1088,98.3,83.7,POSITIVE
1088.5,98.2,83.8,POSITIVE
1089,98.2,83.9,POSITIVE
1089.5,98.2,84,POSITIVE
1090,98.3,84.1,POSITIVE
1090.5,98.3,84.2,POSITIVE
1091,98.3,84.3,POSITIVE
1091.5,98.3,84.3,POSITIVE
1092,98.3,84.4,POSITIVE
1092.5,98.3,84.5,POSITIVE
1093,98.3,84.4,POSITIVE
1093.5,98.3,84.4,POSITIVE
1094,98.3,84.4,POSITIVE
1094.5,98.3,84.5,POSITIVE
1095,98.3,84.5,POSITIVE
1095.5,98.3,84.5,POSITIVE
1096,98.4,84.5,POSITIVE
1096.5,98.4,84.6,POSITIVE
1097,98.4,84.6,POSITIVE
1097.5,98.4,84.7,POSITIVE
1098,98.3,84.7,POSITIVE
1098.5,98.3,84.8,POSITIVE
1099,98.3,84.8,POSITIVE
1099.5,98.3,84.7,POSITIVE
1100,98.4,84.7,POSITIVE
1100.5,98.5,84.8,POSITIVE
1101,98.5,84.9,POSITIVE
1101.5,98.4,84.9,POSITIVE
1102,98.4,84.9,POSITIVE
1102.5,98.4,84.9,POSITIVE
1103,98.5,84.9,POSITIVE
1103.5,98.4,85,POSITIVE
1104,98.4,85,POSITIVE
1104.5,98.3,85,POSITIVE
1105,98.2,85,POSITIVE
1105.5,98.2,84.9,POSITIVE
1106,98.2,84.9,POSITIVE
1106.5,98.3,84.9,POSITIVE
1107,98.3,84.9,POSITIVE
1107.5,98.4,85,POSITIVE
1108,98.4,85,POSITIVE
1108.5,98.4,85.1,POSITIVE
1109,98.5,85.1,POSITIVE
1109.5,98.6,85.2,POSITIVE
1110,98.7,85.2,POSITIVE
1110.5,98.7,85.3,POSITIVE
1111,98.8,85.4,POSITIVE
1111.5,98.8,85.5,POSITIVE
1112,98.9,85.7,POSITIVE
1112.5,98.9,85.7,POSITIVE
1113,98.9,85.7,POSITIVE
1113.5,98.9,85.7,POSITIVE
1114,98.9,85.7,POSITIVE
1114.5,98.9,85.7,POSITIVE
1115,98.9,85.7,POSITIVE
1115.5,98.9,85.7,POSITIVE
1116,98.9,85.7,POSITIVE
1116.5,98.8,85.7,POSITIVE
1117,98.8,85.7,POSITIVE
1117.5,98.8,85.6,POSITIVE
1118,98.8,85.6,POSITIVE
1118.5,98.7,85.6,POSITIVE
1119,98.7,85.7,POSITIVE
1119.5,98.6,85.8,POSITIVE
1120,98.6,85.7,POSITIVE
1120.5,98.6,85.7,POSITIVE
1121,98.6,85.6,POSITIVE
1121.5,98.6,85.6,POSITIVE
1122,98.7,85.5,POSITIVE
1122.5,98.7,85.5,POSITIVE
1123,98.7,85.6,POSITIVE
1123.5,98.6,85.6,POSITIVE
1124,98.6,85.6,POSITIVE
1124.5,98.7,85.6,POSITIVE
1125,98.8,85.6,POSITIVE
1125.5,98.7,85.7,POSITIVE
1126,98.7,85.7,POSITIVE
1126.5,98.6,85.6,POSITIVE
1127,98.5,85.7,POSITIVE
1127.5,98.6,85.7,POSITIVE
1128,98.7,85.7,POSITIVE
1128.5,98.7,85.7,POSITIVE
1129,98.7,85.7,POSITIVE
1129.5,98.7,85.8,POSITIVE
1130,98.6,85.9,POSITIVE
1130.5,98.5,85.9,POSITIVE
1131,98.4,85.9,POSITIVE
1131.5,98.4,85.9,POSITIVE
1132,98.5,85.9,POSITIVE
1132.5,98.4,85.9,POSITIVE
1133,98.4,85.9,POSITIVE
1133.5,98.3,85.9,POSITIVE
1134,98.3,85.9,POSITIVE
1134.5,98.2,85.7,POSITIVE
1135,98.2,85.6,POSITIVE
1135.5,98.2,85.5,POSITIVE
1136,98.3,85.6,POSITIVE
1136.5,98.4,85.6,POSITIVE
1137,98.5,85.8,POSITIVE
1137.5,98.6,86,POSITIVE
1138,98.6,86.2,POSITIVE
1138.5,98.7,86.5,POSITIVE
1139,98.7,86.7,POSITIVE
1139.5,98.7,86.9,POSITIVE
1140,98.7,87.1,POSITIVE
1140.5,98.7,87.2,POSITIVE
1141,98.8,87.4,POSITIVE
1141.5,98.8,87.4,POSITIVE
1142,98.9,87.5,POSITIVE
1142.5,99,87.6,NEUTRAL
1143,99.1,87.7,NEUTRAL
1143.5,99.2,87.9,NEUTRAL
1144,99.2,88.1,NEUTRAL
1144.5,99.2,88.3,NEUTRAL
1145,99.2,88.5,NEUTRAL
1145.5,99.1,88.7,NEUTRAL
1146,99.2,88.9,NEUTRAL
1146.5,99.2,89,NEUTRAL
1147,99.2,89.2,NEUTRAL
1147.5,99.1,89.4,NEUTRAL
1148,99.1,89.5,NEUTRAL
1148.5,99.1,89.6,NEUTRAL
1149,99.1,89.8,NEUTRAL
1149.5,99.1,90,NEUTRAL
1150,99.2,90.2,NEUTRAL
1150.5,99.3,90.4,NEUTRAL
1151,99.3,90.5,NEUTRAL
1151.5,99.3,90.7,NEUTRAL
1152,99.3,90.9,NEUTRAL
1152.5,99.3,91,NEUTRAL
1153,99.4,91.2,NEUTRAL
1153.5,99.4,91.4,NEUTRAL
1154,99.5,91.5,NEUTRAL
1154.5,99.5,91.7,NEUTRAL
1155,99.5,91.9,NEUTRAL
1155.5,99.5,92,NEUTRAL
1156,99.5,92.2,NEUTRAL
1156.5,99.5,92.4,NEUTRAL
1157,99.6,92.6,NEUTRAL
1157.5,99.6,92.8,NEUTRAL
1158,99.6,93,NEUTRAL
1158.5,99.6,93.2,NEUTRAL
1159,99.5,93.4,NEUTRAL
1159.5,99.5,93.5,NEUTRAL
